ID,DATE,Timestamp,TIME,WEEK,ACCURACY,X,Y
fa10-01-29,2010-10-03 10:48,1286070480,10,1,111,-59,-24
fa10-01-29,2010-10-03 10:58,1286071080,10,1,96,-208,-141
fa10-01-29,2010-10-03 11:08,1286071680,11,1,96,-142,-139
fa10-01-29,2010-10-03 11:18,1286072280,11,1,48,40,56
fa10-01-29,2010-10-03 11:28,1286072880,11,1,128,-97,-80
fa10-01-29,2010-10-03 11:38,1286073480,11,1,128,-162,-162
fa10-01-29,2010-10-03 11:53,1286074380,11,1,96,-160,-143
fa10-01-29,2010-10-03 12:04,1286075040,12,1,128,-24,27
fa10-01-29,2010-10-03 12:42,1286077320,12,1,60,-36,-9
fa10-01-29,2010-10-03 14:09,1286082540,14,1,128,-243,-374
fa10-01-29,2010-10-03 15:49,1286088540,15,1,64,-328,-353
fa10-01-29,2010-10-03 15:59,1286089140,15,1,96,-428,-459
fa10-01-29,2010-10-04 0:51,1286121060,0,2,60,-60,-17
fa10-01-29,2010-10-04 1:01,1286121660,1,2,96,-122,-110
fa10-01-29,2010-10-04 1:43,1286124180,1,2,96,-116,-148
fa10-01-29,2010-10-04 2:01,1286125260,2,2,60,-100,-63
fa10-01-29,2010-10-04 3:52,1286131920,3,2,64,-239,-213
fa10-01-29,2010-10-04 5:53,1286139180,5,2,96,-59,31
fa10-01-29,2010-10-04 6:33,1286141580,6,2,128,-340,-414
fa10-01-29,2010-10-04 7:13,1286143980,7,2,96,0,48
fa10-01-29,2010-10-04 8:03,1286146980,8,2,4,162,265
fa10-01-29,2010-10-04 8:13,1286147580,8,2,24,2414,2600
fa10-01-29,2010-10-04 9:36,1286152560,9,2,60,2421,2591
fa10-01-29,2010-10-04 9:44,1286153040,9,2,60,2414,2576
fa10-01-29,2010-10-04 10:08,1286154480,10,2,64,2615,2972
fa10-01-29,2010-10-04 10:45,1286156700,10,2,60,2662,3059
fa10-01-29,2010-10-04 11:00,1286157600,11,2,6,2913,3191
fa10-01-29,2010-10-04 20:30,1286191800,20,2,87,2533,2629
fa10-01-29,2010-10-04 20:41,1286192460,20,2,91,2534,2631
fa10-01-29,2010-10-04 21:11,1286194260,21,2,91,2534,2631
fa10-01-29,2010-10-04 21:21,1286194860,21,2,95,2606,2718
fa10-01-29,2010-10-04 21:31,1286195460,21,2,91,2461,2544
fa10-01-29,2010-10-04 22:01,1286197260,22,2,52,2151,2151
fa10-01-29,2010-10-04 22:31,1286199060,22,2,52,2208,2221
fa10-01-29,2010-10-04 23:02,1286200920,23,2,21,2206,2218
fa10-01-29,2010-10-04 23:51,1286203860,23,2,52,2196,2220
fa10-01-29,2010-10-05 0:22,1286205720,0,3,52,2183,2196
fa10-01-29,2010-10-05 1:12,1286208720,1,3,41,2171,2199
fa10-01-29,2010-10-05 3:33,1286217180,3,3,60,-52,-4
fa10-01-29,2010-10-05 5:56,1286225760,5,3,60,-57,-12
fa10-01-29,2010-10-05 8:14,1286234040,8,3,96,-184,-191
fa10-01-29,2010-10-05 8:34,1286235240,8,3,128,-82,7
fa10-01-29,2010-10-05 9:24,1286238240,9,3,60,-69,-25
fa10-01-29,2010-10-05 10:14,1286241240,10,3,64,3076,3267
fa10-01-29,2010-10-05 12:25,1286249100,12,3,60,2421,2591
fa10-01-29,2010-10-05 12:44,1286250240,12,3,60,2427,2591
fa10-01-29,2010-10-05 13:13,1286251980,13,3,60,2410,2568
fa10-01-29,2010-10-05 14:00,1286254800,14,3,60,2412,2569
fa10-01-29,2010-10-05 14:23,1286256180,14,3,60,2426,2595
fa10-01-29,2010-10-05 15:03,1286258580,15,3,60,2395,2558
fa10-01-29,2010-10-05 17:43,1286268180,17,3,6,272,394
fa10-01-29,2010-10-05 20:21,1286277660,20,3,96,-129,-130
fa10-01-29,2010-10-05 20:43,1286278980,20,3,60,-56,-8
fa10-01-29,2010-10-05 21:03,1286280180,21,3,60,-84,-55
fa10-01-29,2010-10-05 21:30,1286281800,21,3,60,-36,9
fa10-01-29,2010-10-05 22:00,1286283600,22,3,64,-400,-306
fa10-01-29,2010-10-05 22:40,1286286000,22,3,60,-32,-1
fa10-01-29,2010-10-06 1:19,1286295540,1,4,60,-69,-40
fa10-01-29,2010-10-06 3:12,1286302320,3,4,128,-418,-429
fa10-01-29,2010-10-06 3:32,1286303520,3,4,96,-291,-275
fa10-01-29,2010-10-06 4:15,1286306100,4,4,96,-289,-418
fa10-01-29,2010-10-06 4:53,1286308380,4,4,12,-222,-203
fa10-01-29,2010-10-06 5:12,1286309520,5,4,48,-312,-380
fa10-01-29,2010-10-06 6:23,1286313780,6,4,16,-256,-206
fa10-01-29,2010-10-06 8:34,1286321640,8,4,128,-240,-197
fa10-01-29,2010-10-06 9:24,1286324640,9,4,60,2416,2584
fa10-01-29,2010-10-06 9:54,1286326440,9,4,33,2419,2588
fa10-01-29,2010-10-06 10:33,1286328780,10,4,60,2670,3064
fa10-01-29,2010-10-06 11:13,1286331180,11,4,60,2898,3176
fa10-01-29,2010-10-06 12:54,1286337240,12,4,60,2413,2594
fa10-01-29,2010-10-06 13:55,1286340900,13,4,1111,4461,5374
fa10-01-29,2010-10-06 14:15,1286342100,14,4,1111,4461,5374
fa10-01-29,2010-10-06 14:50,1286344200,14,4,613,8796,12544
fa10-01-29,2010-10-06 15:30,1286346600,15,4,12,7,86
fa10-01-29,2010-10-06 16:42,1286350920,16,4,32,-223,-258
fa10-01-29,2010-10-06 17:53,1286355180,17,4,128,-229,-241
fa10-01-29,2010-10-06 18:54,1286358840,18,4,64,-146,-76
fa10-01-29,2010-10-06 20:15,1286363700,20,4,128,-160,-163
fa10-01-29,2010-10-06 21:46,1286369160,21,4,60,-65,-25
fa10-01-29,2010-10-06 23:37,1286375820,23,4,60,-66,-23
fa10-01-29,2010-10-07 0:27,1286378820,0,5,60,-65,-22
