ID,DATE,Timestamp,TIME,WEEK,ACCURACY,X,Y
fa10-01-60,2010-10-13 19:46,1286966760,19,4,60,72,82
fa10-01-60,2010-10-13 19:54,1286967240,19,4,60,101,109
fa10-01-60,2010-10-13 20:10,1286968200,20,4,60,101,109
fa10-01-60,2010-10-13 21:52,1286974320,21,4,871,670,987
fa10-01-60,2010-10-13 22:25,1286976300,22,4,60,-58,-7
fa10-01-60,2010-10-13 22:54,1286978040,22,4,60,-57,-5
fa10-01-60,2010-10-13 23:04,1286978640,23,4,60,-58,-6
fa10-01-60,2010-10-13 23:15,1286979300,23,4,871,670,987
fa10-01-60,2010-10-13 23:48,1286981280,23,4,871,670,987
fa10-01-60,2010-10-14 0:20,1286983200,0,5,60,-57,-7
fa10-01-60,2010-10-14 0:53,1286985180,0,5,60,-58,-6
fa10-01-60,2010-10-14 1:25,1286987100,1,5,60,-58,-6
fa10-01-60,2010-10-14 1:35,1286987700,1,5,60,-55,-3
fa10-01-60,2010-10-14 1:45,1286988300,1,5,121,-51,1
fa10-01-60,2010-10-14 2:18,1286990280,2,5,60,-56,-5
fa10-01-60,2010-10-14 2:51,1286992260,2,5,60,-57,-7
fa10-01-60,2010-10-14 3:24,1286994240,3,5,60,-53,0
fa10-01-60,2010-10-14 3:55,1286996100,3,5,60,-58,-7
fa10-01-60,2010-10-14 4:05,1286996700,4,5,60,-60,-8
fa10-01-60,2010-10-14 4:15,1286997300,4,5,60,-53,-2
fa10-01-60,2010-10-14 4:48,1286999280,4,5,871,670,987
fa10-01-60,2010-10-14 5:21,1287001260,5,5,60,-54,-4
fa10-01-60,2010-10-14 5:54,1287003240,5,5,60,-60,-8
fa10-01-60,2010-10-14 6:25,1287005100,6,5,60,-59,-7
fa10-01-60,2010-10-14 6:35,1287005700,6,5,60,-58,-4
fa10-01-60,2010-10-14 23:11,1287065460,23,5,871,670,987
fa10-01-60,2010-10-15 1:42,1287074520,1,6,60,-59,-8
fa10-01-60,2010-10-15 4:12,1287083520,4,6,60,-60,-8
fa10-01-60,2010-10-15 4:33,1287084780,4,6,60,-60,-8
fa10-01-60,2010-10-15 5:02,1287086520,5,6,871,670,987
fa10-01-60,2010-10-15 5:22,1287087720,5,6,871,670,987
fa10-01-60,2010-10-15 5:32,1287088320,5,6,60,-58,-7
fa10-01-60,2010-10-15 5:52,1287089520,5,6,121,-50,4
fa10-01-60,2010-10-15 7:24,1287095040,7,6,60,-59,-8
fa10-01-60,2010-10-15 7:33,1287095580,7,6,871,670,987
fa10-01-60,2010-10-15 12:47,1287114420,12,6,75,3114,2743
fa10-01-60,2010-10-15 12:49,1287114540,12,6,75,3128,2762
fa10-01-60,2010-10-15 13:12,1287115920,13,6,75,3118,2784
fa10-01-60,2010-10-16 23:05,1287237900,23,7,792,347,145
fa10-01-60,2010-10-17 22:59,1287323940,22,1,871,670,987
fa10-01-60,2010-10-18 1:10,1287331800,1,2,60,-50,1
fa10-01-60,2010-10-18 3:20,1287339600,3,2,60,-55,-6
fa10-01-60,2010-10-18 5:49,1287348540,5,2,60,-45,6
fa10-01-60,2010-10-18 6:00,1287349200,6,2,60,-44,6
fa10-01-60,2010-10-18 12:19,1287371940,12,2,49,3079,2707
fa10-01-60,2010-10-18 12:38,1287373080,12,2,75,3101,2727
fa10-01-60,2010-10-18 13:57,1287377820,13,2,75,3091,2701
fa10-01-60,2010-10-18 15:54,1287384840,15,2,50,3080,2711
fa10-01-60,2010-10-18 23:44,1287413040,23,2,60,-41,4
fa10-01-60,2010-10-19 1:54,1287420840,1,3,60,-47,3
fa10-01-60,2010-10-19 2:03,1287421380,2,3,792,347,145
fa10-01-60,2010-10-19 7:04,1287439440,7,3,792,347,145
fa10-01-60,2010-10-19 20:03,1287486180,20,3,871,670,987
fa10-01-60,2010-10-19 21:23,1287490980,21,3,60,-52,2
fa10-01-60,2010-10-19 23:58,1287500280,23,3,871,670,987
fa10-01-60,2010-10-20 2:07,1287508020,2,4,60,-10,58
fa10-01-60,2010-10-20 4:17,1287515820,4,4,871,670,987
fa10-01-60,2010-10-20 22:00,1287579600,22,4,60,-44,8
fa10-01-60,2010-10-21 6:10,1287609000,6,5,60,-56,-5
fa10-01-60,2010-10-21 6:20,1287609600,6,5,60,-59,-6
fa10-01-60,2010-10-21 13:19,1287634740,13,5,68,2961,2659
fa10-01-60,2010-10-22 6:42,1287697320,6,6,60,-48,1
fa10-01-60,2010-10-22 17:21,1287735660,17,6,79,3006,2721
fa10-01-60,2010-10-22 17:30,1287736200,17,6,79,3006,2721
fa10-01-60,2010-11-01 18:44,1288604640,18,2,150,-59,-10
fa10-01-60,2010-11-04 21:48,1288874880,21,5,150,-65,-21
fa10-01-60,2010-11-06 13:45,1289018700,13,7,150,-57,-9
fa10-01-60,2010-11-10 11:21,1289355660,11,4,60,3652,3460
fa10-01-60,2010-11-10 11:55,1289357700,11,4,60,3677,3501
fa10-01-60,2010-11-10 18:37,1289381820,18,4,35,-219,-204
