ID,DATE,Timestamp,TIME,WEEK,ACCURACY,X,Y
fa10-01-47,2010-10-05 10:06,1286240760,10,3,60,58,65
fa10-01-47,2010-10-05 10:26,1286241960,10,3,792,347,145
fa10-01-47,2010-10-05 10:36,1286242560,10,3,60,-34,-77
fa10-01-47,2010-10-05 10:57,1286243820,10,3,792,347,145
fa10-01-47,2010-10-05 11:36,1286246160,11,3,60,-34,-77
fa10-01-47,2010-10-05 12:06,1286247960,12,3,8,172,258
fa10-01-47,2010-10-05 12:28,1286249280,12,3,66,5033,4957
fa10-01-47,2010-10-05 12:58,1286251080,12,3,60,4149,4146
fa10-01-47,2010-10-05 13:48,1286254080,13,3,44,4340,4584
fa10-01-47,2010-10-05 15:07,1286258820,15,3,14,4434,4812
fa10-01-47,2010-10-05 15:37,1286260620,15,3,29,4437,4808
fa10-01-47,2010-10-05 16:17,1286263020,16,3,36,-98,-144
fa10-01-47,2010-10-05 16:34,1286264040,16,3,34,-98,-144
fa10-01-47,2010-10-05 17:20,1286266800,17,3,792,347,145
fa10-01-47,2010-10-05 17:30,1286267400,17,3,60,3,-38
fa10-01-47,2010-10-05 18:01,1286269260,18,3,68,-316,-220
fa10-01-47,2010-10-05 18:30,1286271000,18,3,54,-120,-153
fa10-01-47,2010-10-05 18:50,1286272200,18,3,58,-176,-241
fa10-01-47,2010-10-05 20:20,1286277600,20,3,40,-100,-84
fa10-01-47,2010-10-05 20:50,1286279400,20,3,65,100,308
fa10-01-47,2010-10-05 21:00,1286280000,21,3,60,-50,-2
fa10-01-47,2010-10-05 21:11,1286280660,21,3,49,27,166
fa10-01-47,2010-10-05 22:00,1286283600,22,3,792,347,145
fa10-01-47,2010-10-05 22:31,1286285460,22,3,72,-22,-109
fa10-01-47,2010-10-05 23:01,1286287260,23,3,58,-107,-141
fa10-01-47,2010-10-05 23:31,1286289060,23,3,33,-88,-131
fa10-01-47,2010-10-05 23:51,1286290260,23,3,45,-64,-162
fa10-01-47,2010-10-06 0:11,1286291460,0,4,25,-104,-144
fa10-01-47,2010-10-06 0:31,1286292660,0,4,64,-54,-165
fa10-01-47,2010-10-06 0:51,1286293860,0,4,58,-59,-166
fa10-01-47,2010-10-06 1:11,1286295060,1,4,54,-45,-159
fa10-01-47,2010-10-06 1:31,1286296260,1,4,51,-140,-58
fa10-01-47,2010-10-06 1:51,1286297460,1,4,58,335,-122
fa10-01-47,2010-10-06 2:11,1286298660,2,4,54,-144,-1049
fa10-01-47,2010-10-06 2:31,1286299860,2,4,68,146,-261
fa10-01-47,2010-10-06 2:51,1286301060,2,4,54,-208,-476
fa10-01-47,2010-10-06 3:11,1286302260,3,4,51,-229,-354
fa10-01-47,2010-10-06 3:31,1286303460,3,4,49,-63,-152
fa10-01-47,2010-10-06 3:51,1286304660,3,4,51,91,-21
fa10-01-47,2010-10-06 4:11,1286305860,4,4,34,-72,-137
fa10-01-47,2010-10-06 4:31,1286307060,4,4,54,-63,-117
fa10-01-47,2010-10-06 4:51,1286308260,4,4,49,23,-63
fa10-01-47,2010-10-06 5:11,1286309460,5,4,96,-122,-184
fa10-01-47,2010-10-06 5:31,1286310660,5,4,64,-46,-222
fa10-01-47,2010-10-06 5:51,1286311860,5,4,65,-108,-150
fa10-01-47,2010-10-06 6:11,1286313060,6,4,49,-41,-143
fa10-01-47,2010-10-06 6:31,1286314260,6,4,54,-147,-271
fa10-01-47,2010-10-06 6:51,1286315460,6,4,66,-24,-117
fa10-01-47,2010-10-06 7:11,1286316660,7,4,40,-78,-192
fa10-01-47,2010-10-06 7:30,1286317800,7,4,58,-105,-203
fa10-01-47,2010-10-06 7:51,1286319060,7,4,68,-126,-181
fa10-01-47,2010-10-06 8:21,1286320860,8,4,51,-73,-145
fa10-01-47,2010-10-06 8:41,1286322060,8,4,54,-219,-312
fa10-01-47,2010-10-06 9:21,1286324460,9,4,99,-112,-200
fa10-01-47,2010-10-06 9:51,1286326260,9,4,54,-62,-133
fa10-01-47,2010-10-06 10:11,1286327460,10,4,54,-93,-144
fa10-01-47,2010-10-06 10:31,1286328660,10,4,49,-91,-151
fa10-01-47,2010-10-06 10:41,1286329260,10,4,54,-162,-256
fa10-01-47,2010-10-06 11:11,1286331060,11,4,99,-55,-163
fa10-01-47,2010-10-06 12:02,1286334120,12,4,51,4997,5543
fa10-01-47,2010-10-06 17:34,1286354040,17,4,60,4322,4612
fa10-01-47,2010-10-06 18:04,1286355840,18,4,60,4333,4628
fa10-01-47,2010-10-06 18:15,1286356500,18,4,97,4989,5240
fa10-01-47,2010-10-06 18:44,1286358240,18,4,54,4382,4783
fa10-01-47,2010-10-06 19:14,1286360040,19,4,58,-92,-157
fa10-01-47,2010-10-06 19:34,1286361240,19,4,51,-65,-84
fa10-01-47,2010-10-06 19:54,1286362440,19,4,65,-90,-118
fa10-01-47,2010-10-06 20:14,1286363640,20,4,54,0,-56
fa10-01-47,2010-10-06 20:34,1286364840,20,4,51,-32,-109
fa10-01-47,2010-10-06 20:54,1286366040,20,4,51,-84,-174
fa10-01-47,2010-10-06 21:14,1286367240,21,4,49,-44,-113
fa10-01-47,2010-10-06 21:34,1286368440,21,4,792,347,145
fa10-01-47,2010-10-06 21:50,1286369400,21,4,58,-98,-177
fa10-01-47,2010-10-06 21:51,1286369460,21,4,103,-7,-50
fa10-01-47,2010-10-06 22:31,1286371860,22,4,58,-113,-207
fa10-01-47,2010-10-06 23:02,1286373720,23,4,66,-49,-120
fa10-01-47,2010-10-06 23:22,1286374920,23,4,51,-51,-111
fa10-01-47,2010-10-06 23:42,1286376120,23,4,36,-95,-194
fa10-01-47,2010-10-07 0:02,1286377320,0,5,51,-131,-162
fa10-01-47,2010-10-07 0:21,1286378460,0,5,871,670,987
fa10-01-47,2010-10-07 0:42,1286379720,0,5,51,-146,-247
fa10-01-47,2010-10-07 1:11,1286381460,1,5,51,-63,-172
fa10-01-47,2010-10-07 1:51,1286383860,1,5,60,1,-40
fa10-01-47,2010-10-07 2:21,1286385660,2,5,871,670,987
fa10-01-47,2010-10-07 2:52,1286387520,2,5,66,-47,-80
fa10-01-47,2010-10-07 3:42,1286390520,3,5,40,-75,-144
fa10-01-47,2010-10-07 4:11,1286392260,4,5,25,-119,-200
fa10-01-47,2010-10-07 4:31,1286393460,4,5,51,-64,-195
fa10-01-47,2010-10-07 4:52,1286394720,4,5,97,-81,-151
