ID,DATE,Timestamp,TIME,WEEK,TYPE,TARGET
sp10-01-46,2010-08-30 21:23:12,1283170980,21,2,"incoming+","747985fcb6062b9883f4cc133dc5ec029b8fa261"
sp10-01-46,2010-08-31 09:37:55,1283215020,09,3,"outgoing+","535cf833a2c60e3ca422c6314b870604342a7ebe"
sp10-01-46,2010-08-31 11:07:28,1283220420,11,3,"incoming+","43faeb78a1b87815c65f3a42de3acf55cab6b3f8"
sp10-01-46,2010-09-01 20:45:30,1283341500,20,4,"incoming+","5cb39ed451a9b588850ab349afd23df4c03e9114"
sp10-01-46,2010-09-01 20:45:07,1283341500,20,4,"outgoing+","5cb39ed451a9b588850ab349afd23df4c03e9114"
sp10-01-46,2010-09-01 20:43:58,1283341380,20,4,"incoming+","5cb39ed451a9b588850ab349afd23df4c03e9114"
sp10-01-46,2010-09-01 20:30:19,1283340600,20,4,"incoming+","5cb39ed451a9b588850ab349afd23df4c03e9114"
sp10-01-46,2010-09-01 16:42:41,1283326920,16,4,"outgoing+","47aed86ea453e086b639eefbf7ecaadbe261a31f"
sp10-01-46,2010-09-01 16:13:18,1283325180,16,4,"outgoing+","43faeb78a1b87815c65f3a42de3acf55cab6b3f8"
sp10-01-46,2010-09-01 15:19:44,1283321940,15,4,"outgoing+","43faeb78a1b87815c65f3a42de3acf55cab6b3f8"
sp10-01-46,2010-09-02 18:39:38,1283420340,18,5,"incoming+","da4b9237bacccdf19c0760cab7aec4a8359010b0"
sp10-01-46,2010-09-02 18:39:07,1283420340,18,5,"incoming+","da4b9237bacccdf19c0760cab7aec4a8359010b0"
sp10-01-46,2010-09-02 18:38:16,1283420280,18,5,"incoming+","da4b9237bacccdf19c0760cab7aec4a8359010b0"
sp10-01-46,2010-09-02 18:34:05,1283420040,18,5,"incoming+","da4b9237bacccdf19c0760cab7aec4a8359010b0"
sp10-01-46,2010-09-02 18:32:48,1283419920,18,5,"incoming+","da4b9237bacccdf19c0760cab7aec4a8359010b0"
sp10-01-46,2010-09-02 18:04:19,1283418240,18,5,"outgoing+","43faeb78a1b87815c65f3a42de3acf55cab6b3f8"
sp10-01-46,2010-09-02 17:59:14,1283417940,17,5,"outgoing+","43faeb78a1b87815c65f3a42de3acf55cab6b3f8"
sp10-01-46,2010-09-02 14:44:07,1283406240,14,5,"incoming+","4cd6ce1d295bda2dc1fd0a0287eb12333b45aa64"
sp10-01-46,2010-09-02 12:53:26,1283399580,12,5,"outgoing+","988221eef59697b7afc0d6dfb2bd36a18b64abed"
sp10-01-46,2010-09-03 17:02:16,1283500920,17,6,"incoming+","b3cc39426cd045f5873b0814da0776646c834f9b"
sp10-01-46,2010-09-04 15:12:20,1283580720,15,7,"outgoing+","952776d1dc1d9fa60f5d26d7946071425153d058"
sp10-01-46,2010-09-05 22:50:54,1283694600,22,1,"outgoing+","723f5c33e460b12737c475843aed198707694582"
sp10-01-46,2010-09-05 22:25:09,1283693100,22,1,"outgoing+","738e721d20a2b5ac782eaec78800670e403f13e0"
sp10-01-46,2010-09-05 22:21:09,1283692860,22,1,"outgoing+","69cc95c9e8b2adfa3cd1e5d5e6a6923dbd8795e3"
sp10-01-46,2010-09-05 22:20:23,1283692800,22,1,"outgoing+","723f5c33e460b12737c475843aed198707694582"
sp10-01-46,2010-09-05 22:16:39,1283692560,22,1,"outgoing+","9bf41e846364edb628e3f9a82bfbd1ae4bac4a71"
sp10-01-46,2010-09-07 12:44:33,1283831040,12,3,"incoming+","5cb39ed451a9b588850ab349afd23df4c03e9114"
sp10-01-46,2010-09-07 12:43:17,1283830980,12,3,"incoming+","5cb39ed451a9b588850ab349afd23df4c03e9114"
sp10-01-46,2010-09-07 20:49:52,1283860140,20,3,"incoming+","43faeb78a1b87815c65f3a42de3acf55cab6b3f8"
sp10-01-46,2010-09-08 10:35:17,1283909700,10,4,"incoming+","ad5ed94c82192e32841c1c6cf4a04e7b8a7d6e0f"
sp10-01-46,2010-09-08 10:34:16,1283909640,10,4,"incoming+","ad5ed94c82192e32841c1c6cf4a04e7b8a7d6e0f"
